single_edge,arrow_tail,arrow_head
beta_node_01_node_02,node_01,node_02
beta_node_01_node_03,node_01,node_03
beta_node_01_node_04,node_01,node_04
beta_node_01_node_05,node_01,node_05
beta_node_01_node_06,node_01,node_06
beta_node_01_node_07,node_01,node_07
beta_node_01_node_08,node_01,node_08
beta_node_02_node_01,node_02,node_01
beta_node_02_node_03,node_02,node_03
beta_node_02_node_04,node_02,node_04
beta_node_02_node_05,node_02,node_05
beta_node_02_node_06,node_02,node_06
beta_node_02_node_07,node_02,node_07
beta_node_02_node_08,node_02,node_08
beta_node_03_node_01,node_03,node_01
beta_node_03_node_02,node_03,node_02
beta_node_03_node_04,node_03,node_04
beta_node_03_node_05,node_03,node_05
beta_node_03_node_06,node_03,node_06
beta_node_03_node_07,node_03,node_07
beta_node_03_node_08,node_03,node_08
beta_node_04_node_01,node_04,node_01
beta_node_04_node_02,node_04,node_02
beta_node_04_node_03,node_04,node_03
beta_node_04_node_05,node_04,node_05
beta_node_04_node_06,node_04,node_06
beta_node_04_node_07,node_04,node_07
beta_node_04_node_08,node_04,node_08
beta_node_05_node_01,node_05,node_01
beta_node_05_node_02,node_05,node_02
beta_node_05_node_03,node_05,node_03
beta_node_05_node_04,node_05,node_04
beta_node_05_node_06,node_05,node_06
beta_node_05_node_07,node_05,node_07
beta_node_05_node_08,node_05,node_08
beta_node_06_node_01,node_06,node_01
beta_node_06_node_02,node_06,node_02
beta_node_06_node_03,node_06,node_03
beta_node_06_node_04,node_06,node_04
beta_node_06_node_05,node_06,node_05
beta_node_06_node_07,node_06,node_07
beta_node_06_node_08,node_06,node_08
beta_node_07_node_01,node_07,node_01
beta_node_07_node_02,node_07,node_02
beta_node_07_node_03,node_07,node_03
beta_node_07_node_04,node_07,node_04
beta_node_07_node_05,node_07,node_05
beta_node_07_node_06,node_07,node_06
beta_node_07_node_08,node_07,node_08
beta_node_08_node_01,node_08,node_01
beta_node_08_node_02,node_08,node_02
beta_node_08_node_03,node_08,node_03
beta_node_08_node_04,node_08,node_04
beta_node_08_node_05,node_08,node_05
beta_node_08_node_06,node_08,node_06
beta_node_08_node_07,node_08,node_07
